"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Trailer of "" Amarcord""","English","Colour","35mm","Warner Bros ( F . E .) Inc. Eros Bldg , Opposito Churchgato Station . Bombay - 1 .","B/73738","","U","","","","","[I] Delete the shot of a woman sitting down for pissing on the beach (3.52 m) || [II] Delete the shot of fat woman exposing her breasts to the young boy and asking him to suck (3.85 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Trailer of "" Sanyasi""","Hindi","Colour","35mm","Sohanlal Kanwar, 301, Neelam - Bldg , Worli , Bombay- 1- 10 -75","B/75844","","U","","","","","","[I] Reduce shots of molestation of woman (retained: 1.76 m) || [II] Reduce shots of violence in the trailer (retained: 2.89 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Seth Sagalsha","Gujarati","Colour","35mm","R . J. Films, 3 - E , Naaz Bldg., Lamington Road, Bombay -4 .","B/75836","","U","","","","","[III] Delete the words "" Taiyar inaal occho chco"" as spoken by Motibai with reference to girls (0.65 m) || [III] Delete the words "" Jawajima Jivavoo hoy to budhapama kaam aavslie "" as spoken by Mavjibhajui (5.4 m) || [VIII] Delete the indecent gestures of Mavji clinging to the tree, while Anandji and Champa go to the pool (3.2 m) || [VU] Delete the words "" Chalne paap kariya , paap karata jaway sane dhota jaway "" as spoken by Anandji while dragging Champa to bathe (5.4 m) || [XI] Delete the words "" Taari jaatno bavo maaru "" as spoken by Dakalsh to the Sadhu while feeding him (1.2 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Butterflies Are Free","English","Colour","35 mm","Colombia Films of India Ltd. , Metro Houso, M , G . Road , B bay - 20 .","B/75578","","U","","","","","[III] Delete the view of Jill taking Don s hand to her breast with the words "" This is my breast and both of them . Delete also the later reference to this incident by Jill (17.37 m) || [III] Delete the following dialogue spoken by Don Jill : "" He can smell the communists cooking up a plot to over throw the government (1.52 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"The Great Gatsby","English","Colour","35 mm","Paramount Films of India Ltd . , Haguo Bldg. , Spott Rd ., Bombay - 1 .","B/75863","","U","","","","","","[VIII] Reduce to minimum , the prominent shot of blood spurting in the swimming pool after Gatsby is shot with bullets (6.71 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Fiddler On The Roof","English","Col","Panavision ) ( 35 mm .)","20th Century Fox Co . rp . (India ) Pvt . Ltd . Metro House, MG. Road , Bombay - 20 ,","B/75733","","U","","","","","[I] From a Russian officer s dialoguc referring to Jews, delete the words ""... these Christ Killers "" (0.91 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Crazy Girls And The Funny Boys","English","Col","Panavision ) ( 35 mm .)","Film Finance Corporation , Ltd ., 91 Walkeshwar Road , Bombay -6","B/74706","","U","","","","","[II] Delete the shot of completely nude poster while there is no objection to retaining portions of the poster where midriff is covered (6.29 m) || [II] Delete the shot of partially nude midriff of Miss Logan (1.34 m) || [IV] Delete the dialogue of Miss Logan at Press Conference. He is a sex machine gun (0.32 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Sanyasi","Hindi","Colour","35 mm","Sohanlal Kanwar, 301-Neelam Bldg ,, Worli , Sea Face sca Faco Road , Bombay - 18 .","B/75820","","U","","","","","[General] Delete the Anand Margi Slogan "" JaiGurudev "" wherever it occurs in the film (Deleted sound only) (0 m) || [General] Delete all repetition of "" Bum Bum Mahadeo "" wherever it occurs in the film (10.78 m) || [XII] Delete the underlined words from Mangal Singh s dialoguc referring to heroine : "" Loot ka maal adha adha . . . . ye larki hamari milkiyat hai . . . . . . . . . . hamari amanat hai, "" (0 m) || [XV] Delete the underlined word from Mangal Singh s dialogue addressed to Shanti Baba. "" Dakshna me Ram ki Secta de sakoge ? "" with reference to heroine. (Deleted sound only ) (0 m) || [XVI] From the dialogue of hero , in the disguise of an American Cowboy , delete his utterance "" Bloody Bharatwala "" addressed to Mangal Singh . (Deleted sound only) (0 m) || [XVII] Delete the torture of three dacoits by Police (40.84 m) || [XVII] Delete the modus operandi of jail breading with the help of running van (12.8 m) || [XVII] Delete the word "" Randi "" from Mangal Singh s dialogue . (Deleted Sound only ) (0 m) || [XVII] Delete the underlined words from the dialogue of Mangal Singh with reference to the heroine "" Kora Kagaz par Ramayan Phoolmoon ho jaye honeymoon "" (7.66 m) || [XVIII] Delete the shots of Mangal Singh sprinkling whisky while invoking holy rivers (4.46 m) || [XIX] During strugglo in flowing waters delote prominent shots of the chair where Anand Marg s Jai Gurudev slogan could be read (3.78 m)","[II] Reduce the opening shot in which Banwari is introduced through the legs of a girl swimming her buttocks (0.65 m) || [II] In the Radha s song dancc at Hiralal s house delete indecent finger movement of Mangal Singh over the breast of Radha when she is Icaning backward and delete the top angle shot in which Radha s cleavage is prominently exposed (6.21 m) || [IX] Reduce to bare minimum the scene where Mangal Singh , masquerding as Ishwar Baba , rapes a woman (10.87 m) || [XIV] Reduce drastically the sequence where Ram is attacked /tortured with Bhajan instruments and trident before his body is thrown in river (6.16 m) || [XV] Reduce considerably the scene where Shanti Baba is attacked by Mangal Singh and his followers with trident and other instruments . Also reduce the blood smeared body of Shanti Baba before his death (15.2 m) || [XVIII] Reduce to breast minimum the entire sequence on Banwari molesting the heroine and Mangal Singh encouraging him with indecent gestures (21.04 m) || [XVIII & XIX] Reduce drastically the fight between Ram and dacoits, deleting all grusone and hard hitting shots (10.32 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Maze Le Lo","Hindi","Colour","35 mm","Vithal Productions, Manek Chambers , Naaz Compound , Lamington Road , Bombay -4 .","B/74792","","A","","","","","[III] Delete the following dialogue : Yahan badalte nabin log leaderi ki tarah (4.33 m) || [II] Delete the indecent gesture of Sulaiman Deccani (0.8 m) || [IV] Delete the underlined words from the following dialogue : "" Licence Arab . . . Arab men her baat par liecnco hai,"" (1.22 m) || [III] Delete the dialogue "" At a timo woh saat ladkiyonse isk karta haih said by the writer (8.44 m) || [VII] Delete the underlined words from the dialogue (1) Baar hal kuchh bhi pakadkar bolti hai (0.34 m) || [VIII] Delete the word "" Kaput "" from the sentence "" Awara Kaput"" beten ke karnaame dekh honge "" "" Maine ck ajaah Kaput beta paida kiya hai"" "" Kahani men ye Kaput bela ck ajaab namoona hai"" (1.39 m) || [LX] From the scene between the dying father and the drunkar son , delete the shot, whore the son wills his empty liquor bottles to Government (4.88 m) || [IX] From the Kavi Sammelan şequçuce delete entirely the first poom rocitod by a lcan man in which he repeats tho words “ Hari naam , Sita Ranı, Radhe Sham etc , quite often . From the same sequence also delete following sentence after one of the pocts has been reforred to as a dog "" Bharat ke prajatantra aapke haaton mein hain "" (75.29 m) || [XII] In the Qawali song , delete the words "" Deepak me tel nahin "" (2.63 m) || [XIV] From the Laila Majnu Sequence : (i ) Delete the underlined words ; "" Main aaya leko saath munde to tujhc abad kar dega tu apna le mushtando ko (0.15 m) || [XIV] From the Laila Majnu Sequence : (II) No to inain aurat hoon , na to main aadmi hoon , main to hoon beechwala re -mujh ko batazo saare za gre tum apne pyaare , aapas inoin kai zala re ? Ja Ja re jare chhakko, and delete the rolo of tho eunuch (2.926 m) || [XIV] From the Laila Majnu Sequence : (iii ) Delete the underlined words from the song "" Aag legi hai, pyar legi hai. , Band karo room room and repotition thereof "" (1.83 m) || [XIV] From the Laila Majnu Sequence : (iv ) Delete the shot in which the pahelwan , while exiting, places his palm on the Laila below the navel (0.61 m) || [XV] From the wrestling dance , delete all indecorous gestures of male and female dancers (7.64 m)","[IV] Reduce the dance by deleting indecent jerks and gestures of the dancers (9.84 m) || [V] Reduce the Charsleton dance by deleting indecorous movements and gestures (23.47 m) || [VII] Reduce the dance considerably by retaining only upto tho shot where the dancer started removing her dressing goon (63.89 m) || [X] In the dance sequonco with Navy boys delete indecent gestures of the dancers and the boys (7.01 m) || [XIII] Reduce considerably the dance of Neel Kamal by deleting all shots after she starts unzipping her dross (42.06 m)","","[XII & XIII] Delete all indecorous and vulgar shots of illicit sex relationship (65.84 m)","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Nishant","Hindi","Colour","35 mm","Blaze Film Enterprises ( P ) Ltd ., Lalji- Mohan Naranji Bldg., 3rd Floor, Opp. Churchgate , Station , Bombay - 20 .","B/75587","","U","","","","","[13] Delete shots of gruesome brutality from reel No. 13 (6.24 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Swayansiddha","Bengali","","35mm","Chitranjali, 32 , Ganesh Ch . Avenuo, Calcutta -13 .","C - 8361","","U","","","","","","[2] Reduce considerably whipping of Gobinda by Nibaran (3.35 m) || [11] Reduce considerably whipping of Gobinda by Nibaran (24.38 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Tin Pari Chhoy Premik","Bengali","","35 mm","Samir Kunar Mookorjee , Jawaharlal Nehru Road , Calcutta - 13 .","C - 8359","","U","","","","","[3] Striptease shot from tho point of opening the buttons of the garments till completo removal of the upper garments (5.62 m) || [3] shot showing shaking of buttocks walsto and rubbing of lower belly with palmc (3.65 m) || [3] Rolling on the floor (7.98 m) || [6] Delete djalogue of the olderly businessman : Moyeder lukobar jaygar ki abhab (2.74 m) || [7] Delete the shotshowing wine coming out from the bottle of the drunkard intermittently as ho shakes his body during the song (3.35 m) || [8] Delete the dialogue of Jonaki ‘Meyeder gayer gandha Nichchile (2.13 m) || [10] Dialogue of elderly businessman Chakri Jibanor uchchagota prathamei hayo jaak (2.43 m) || [12] Delete embraco and kissing of the wife by the executivo (2.43 m) || [12] Kissing of the sleeping girl by the Executive (2 m)","[3] Considerably reduce danco of the Cabarat girl where negatives have been used (3 m) || [10] Shorten the suggestive sound of hoavy breathing when the Engineer student ombraced tho elder sister (3.35 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Thiruvonam","Malayalam","","35 mm","Vandana Films, Madras,","M -9572","","U","","","","","[8] Delete the sequence in which the girl is being hugged by turn by Appukkuttan and the boarded man (64.25 m) || [9] Reduce the fight, to a flash (19.29 m) || [10] Delete the action of Appukkuttan crossing over the girl on the cut (1.59 m) || [14] Delete the statue of Gandhi on the table of the villain , as well as the picture of leaders (15.52 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Trailer of Paduchupilla Pagatidongalu","Telugu","","35 mm","Chakravarti Chitralaya Pictures , Madras .","M -9570","","U","","","","","[1] Delete the shot of Jothi rolling over a dacolt, from the fighting sceno (1.22 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Gajula Kishtayya","Telugu","Colour","35 mm","Shri M . S . Prasad Adu rthi Bhaskar , Madras .","M -9515","","U","","","","","[2] From the text of the song beginning with the words : ""Gajuloy Gajuloo "" , delete the following last four lines : "" Udyamam Modaletti Madyana Vadilo Nayakulaku , Prajalu Vaddange gaddonattukoni elado peddalaku , Rangu mare gajulu Rajakeeya gajulu , Dilli nunchi tinpaga digi vachina gajulu ."" Also delete the entire picturisation of a political leader with his two followers on the above song lines (32.61 m) || [5] From the picturigation of the song beginning with the words "" Navvulu Rayve Puvamma” , sung by Gajula Kishtayya , delete the following : (a ) Radha and Chukkamma hugglog each other (thrice) on BGM before the song line "" Yoc thota mottamu kanminavi"" . (b ) Chukkamma bending over the bosom of Radha and kissing it: Chukkamma kissing Radha on forehoad , choaks and shoulders and bencath tho breasts . (all coming on BGM before the song line "" Yo Kommaku poochavo )"" . (c) Both hitting at each other s bosom sitting on their kncos amidst the plants towards the end of the song near the line "" Nee Navvulu Naaku Ivvamma"" (8.52 m)","[9] Reduce the fighting sequence between Kişhtayya and Sundaram (15.24 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Asheervadu","Kannada","","35 mm","Shri P . G . Rajalingam , Madras,","M -9492","","U","","","","","[2] Delete Sudha embracing Rohini in the swimming pool (0.91 m) || [6] Delete Mahesh and Radha rolling over cach other, down the slopo , and the last shot where they are together (6.1 m) || [11] Reduce close -up of Sudha s face in labour pain (4.57 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"The Great Gatsby","English","Colour","35 mm","Paramount Films of India Ltd . , Haguo Bldg. , Spott Rd ., Bombay - 1 .","B / 75863","","U","","","","","","[VIII] Reduce to minimum , the prominent shot of blood spurting in the swimming pool after Gatsby is shot with bullets (6.71 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Harmonium","Bengali","","35 mm","P . C . Agarwala & R . A . Jalan Stephen House, Room No. 11 B B . D . Bag , Calcutta - 1 .","C -8378","","U","","","","","[3] Deletion of Sanjib s dialoguo : Democracy naame mastaani (1.21 m) || [8] Deletion of a prostitule s dialogue : Babura Office thekey pentaloom khulto khulte aasen (2.43 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Kavitha","Telugu","","35 mm","Vijaya Krishna Combines , Madras,","M -9561","","U","","","","","[1] Delete the suggestive shots of nude sculptures of a man and a woman shown in the beginning of the film (5.79 m) || [2] Delete Bharati pulling off the dhoti of her husband behind tho sofa (3.36 m)","[10] From the picturisation of the song beginning with the words "" Baja Bajantreelu "" , delete Ravi hol ding Usha by her waist and pushing her forward and backward indecorously , on BOM before the song lino "" Ubulatam aapandi"" (2.13 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Makkal","Malayalam","","35mm","Manjilas Cine Enterprises , Madras,","M -9563","","U","","","","","[3] Delete action of Sekhara Pillai s tucking the dhoti and hurrying in an indecorousmanner for passing urine (1.22 m) || [4] Delete the suggestive kiss on Parvati by boy fricnd (3.66 m) || [9, 10 & 11] Delete the sequence of the 3rd son depicted as an organiser of a political party . The words "" Eclection "" , "" Party "" and "" Minister to be deteled wherever they occur (50.98 m) || [12] Delete the words of office assistant,"" Vicharichal Panama Udakkan Pattiya Prayam "" , and the reply by the girl typist "" Anganeyano Nindo Pengalku Carbam Undayathé."" (6 m)","[8] Reduce the shots of nude sketches to a suggestion (2.46 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Doctor Siva","Tamil","Colour","35 mm","Smt. T . Barathi, Madras,","M -9528","","U","","","","","[3] Delete the sequence in which politician is shown as a leper , together with words (34.14 m) || [9] Delete Dr. Siva s action of slapping the backside of Geetha (1.22 m) || [9] His lying over her and her action of mounting over him at the end of the scene (2.74 m)","[3] Reduce Geetha s close shot in swim suit to a suggestion as she talks to Dr, Siva nearjeep (2.13 m) || [10] Reduce Dr. Siva s assistant s action of tickling the feet of Amuda , to a flash (3.05 m)","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Vayasochina Pilla","Telugu","","35mm","Krishivala Films ( P ) Ltd . , Madras .","34876","","U","","","","","[1] Voluntary deletions approved (56.39 m) || [3] Voluntary deletions approved (23.16 m) || [9] Voluntary deletions approved (2.74 m) || [10] Voluntary deletions approved (29.87 m) || [14] Voluntary deletions approved (29.26 m) || [15] Voluntary deletions approved (78.64 m)","","","","in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352","1976-07-03T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-03.O-1182-1976-0027-52352"
"Bhoola Bhatka","Hindi","Colour","35 mm","Angel Movies, 32-Ajinkya Mansion Ramabai Road, Bombay-7","B 174608","13-10-75","U","","","","","[IV] The words 'Khana to roj lagta hai, ab to bistar lagva do' as spoken by Mota Seth are deleted. (4.39 m)","[I] Ghanshyampidas beating the Munim and killing him. Close shots of Munim's face covered with blood are deleted. (1.46 m) (retained: 5.7 m) || [III] Close view of Jiya's breasts exposed through a low cut blouse when she bends forward after throwing Ran's letter is reduced. (0.49 m) (retained: 14.33 m) || [V] View of Jail warders bleeding face when hit by Ram is reduced. (3.33 m) (retained: 1.78 m)","","[IV] Reference to 'Bistar ganda karna' in the dialogues between Roopa and Mota Seth is replaced with approved words. || [XI] Reference to 'Congresy House' by Ram while giving address of Rupa to the Ashram boy is replaced with approved words. || [XI] Reference to 'Uchhelti Chaati' in the dialogue between Ram and Usha is replaced with approved words. || The word (Randi) wherever it occurs is replaced with approved words.","in.gazette.csl_weekly.1976-07-17.O-1182-1976-0029-52354","1976-07-17T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-17.O-1182-1976-0029-52354"
"Zinda Dil","Hindi","Colour","35 mm","S.B. Films International, 403-Rajdoot, Linking Rd., Khar Bombay-52","B 75860","15-10-75","U","","","","","[III] Shots of a child being tortured by Ghanshyam, particularly the view of his holding her through the mouth while talking over phone, and striking away the chocolate from her hand are deleted. || [V] After the election procession, the suggestion of kiss between Rekha and Arun is deleted. || [VI] The words 'Ullu ki patthi' as spoken by Arun to Rekha are deleted. || [VI] Indecent dialogues with visuals of Ghanshyam addressed to his father are deleted. || [VIII] The dialogue 'Our Government always good idea - India fifty thousand years advanced', as spoken by the Tourist Guide to Foreign tourist, and misleading dialogues with reference to Mount Everest and Indian Government are deleted. || [XII] The words 'Tandoori Machali etc.' spoken by Arun at the swimming pool with reference to Jyoti are deleted.","[I] Beating up of a boy by Arun in the school is suitably reduced. (0.75 m) (retained: 6.83 m) || [III] Quick intercuts of the carrying child and Ghanshyam are reduced to tone down the torture impact. (3.8 m) (retained: 3.4 m) || [IV] Fight between Arun and Ghanshyam & his men is considerably reduced, deleting hard hits and drastically reducing shots of whipping with rope, hitting with steel ring and other gruesome visuals. (16.35 m) (retained: 16.2 m) || [VIII] Fight between Arun, Ghanshyam and his men is considerably reduced. (9.03 m) (retained: 10.9 m) || [XV & XVI] Violence between Arun, Kewal and others and Ghanshyam & his men is drastically reduced, particularly deleting gruesome visuals and reducing the fight. (51.84 m) (retained: 37.96 m)","","","in.gazette.csl_weekly.1976-07-17.O-1182-1976-0029-52354","1976-07-17T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-17.O-1182-1976-0029-52354"
"Dirty Mary Crazy Larry","English","Colour","35 mm","20th Century Fox Pvt. Ltd. Metro House, M.G. Road, Bombay-20","B 75729","16-10-75","U","","","","","[I] Views of a woman taking a bath in nude, wherever her nudity is established, are deleted. || [II] Views of Mary lying in the car with her legs wide apart in an indecent manner, and the words 'ass-hole' as spoken by Mary to Larry are deleted. || [III] The words 'Kiss Off' as said by Deke are deleted. || [IV] The words 'Kiss Off' as said by Mary and Larry, wherever they are used in a suggestive manner, are deleted. || [IV] The words 'screw Miss Mary' as spoken by Larry and also the connected dialogues between Mary and Larry are deleted. || [V] Reference to her crotch in the dialogue of Larry is deleted. || [V] The words 'my ass' as spoken by Hank are deleted. || [VI] The words 'Kiss my ass' as spoken by Franklin are deleted. || [X] The underlined word from the sentence 'Before I rain it straight up your ass' as spoken by Larry is deleted.","","","","in.gazette.csl_weekly.1976-07-17.O-1182-1976-0029-52354","1976-07-17T00:00:00Z","https://archive.org/details/in.gazette.csl_weekly.1976-07-17.O-1182-1976-0029-52354"
